Ip, TimeStemp, Key, Log Property, Value
127.0.0.1,03:31:28:384,RN_ACTUAL_BYTES_RECEIVED,perSecond,186.00
127.0.0.1,03:31:28:384,RN_bytesInResendBuffer,perSecond,0.00
127.0.0.1,03:31:28:384,RN_USER_MESSAGE_BYTES_RESENT,perSecond,0.00
127.0.0.1,03:31:28:384,RN_lastPing,perSecond,0.00
127.0.0.1,03:31:28:384,RN_USER_MESSAGE_BYTES_RECEIVED_PROCESSED,perSecond,138.00
127.0.0.1,03:31:28:384,RN_USER_MESSAGE_BYTES_PUSHED,perSecond,122.00
127.0.0.1,03:31:28:384,RN_packetlossLastSecond,perSecond,0.00
127.0.0.1,03:31:28:384,RN_ACTUAL_BYTES_SENT,perSecond,163.00
127.0.0.1,03:31:29:248,RN_ACTUAL_BYTES_RECEIVED,perSecond,193.00
127.0.0.1,03:31:29:248,RN_bytesInResendBuffer,perSecond,0.00
127.0.0.1,03:31:29:248,RN_USER_MESSAGE_BYTES_RESENT,perSecond,0.00
127.0.0.1,03:31:29:248,RN_lastPing,perSecond,0.00
127.0.0.1,03:31:29:248,RN_USER_MESSAGE_BYTES_RECEIVED_PROCESSED,perSecond,138.00
127.0.0.1,03:31:29:248,RN_USER_MESSAGE_BYTES_PUSHED,perSecond,124.00
127.0.0.1,03:31:29:248,RN_packetlossLastSecond,perSecond,0.00
127.0.0.1,03:31:29:248,RN_ACTUAL_BYTES_SENT,perSecond,179.00
127.0.0.1,03:31:29:293,RN_ACTUAL_BYTES_RECEIVED,perSecond,193.00
127.0.0.1,03:31:29:293,RN_bytesInResendBuffer,perSecond,0.00
127.0.0.1,03:31:29:293,RN_USER_MESSAGE_BYTES_RESENT,perSecond,0.00
127.0.0.1,03:31:29:293,RN_lastPing,perSecond,0.00
127.0.0.1,03:31:29:293,RN_USER_MESSAGE_BYTES_RECEIVED_PROCESSED,perSecond,138.00
127.0.0.1,03:31:29:293,RN_USER_MESSAGE_BYTES_PUSHED,perSecond,124.00
127.0.0.1,03:31:29:293,RN_packetlossLastSecond,perSecond,0.00
127.0.0.1,03:31:29:293,RN_ACTUAL_BYTES_SENT,perSecond,179.00
127.0.0.1,03:31:29:304,RN_ACTUAL_BYTES_RECEIVED,perSecond,193.00
127.0.0.1,03:31:29:304,RN_bytesInResendBuffer,perSecond,0.00
127.0.0.1,03:31:29:304,RN_USER_MESSAGE_BYTES_RESENT,perSecond,0.00
127.0.0.1,03:31:29:304,RN_lastPing,perSecond,0.00
127.0.0.1,03:31:29:304,RN_USER_MESSAGE_BYTES_RECEIVED_PROCESSED,perSecond,138.00
127.0.0.1,03:31:29:304,RN_USER_MESSAGE_BYTES_PUSHED,perSecond,124.00
127.0.0.1,03:31:29:304,RN_packetlossLastSecond,perSecond,0.00
127.0.0.1,03:31:29:304,RN_ACTUAL_BYTES_SENT,perSecond,179.00
127.0.0.1,03:31:29:325,RN_ACTUAL_BYTES_RECEIVED,perSecond,365.00
127.0.0.1,03:31:29:325,RN_bytesInResendBuffer,perSecond,2.00
127.0.0.1,03:31:29:325,RN_USER_MESSAGE_BYTES_RESENT,perSecond,0.00
127.0.0.1,03:31:29:325,RN_lastPing,perSecond,0.00
