Timestamp(ms),IP_Address,RTT(ms)
59724414,127.0.0.1,68
59725449,127.0.0.1,1034
59726531,127.0.0.1,1082
59727613,127.0.0.1,1082
59728579,127.0.0.1,966
59728697,127.0.0.1,2
59729780,127.0.0.1,1083
59730862,127.0.0.1,1082
59731945,127.0.0.1,1083
59732928,127.0.0.1,983
59733029,127.0.0.1,2
59734112,127.0.0.1,1083
59735211,127.0.0.1,1099
59736294,127.0.0.1,1083
59737259,127.0.0.1,965
59737378,127.0.0.1,2
59738460,127.0.0.1,1081
59739543,127.0.0.1,1083
59740626,127.0.0.1,1083
59741608,127.0.0.1,982
59741709,127.0.0.1,2
59742809,127.0.0.1,1100
59743891,127.0.0.1,1082
59744975,127.0.0.1,1084
59745939,127.0.0.1,964
59746059,127.0.0.1,3
59747142,127.0.0.1,1083
59748241,127.0.0.1,1099
59749323,127.0.0.1,1082
59750288,127.0.0.1,965
59750408,127.0.0.1,2
59751490,127.0.0.1,1082
59752573,127.0.0.1,1083
59753655,127.0.0.1,1082
59754638,127.0.0.1,983
59754738,127.0.0.1,2
59755822,127.0.0.1,1084
59756906,127.0.0.1,1084
59758003,127.0.0.1,1097
59758970,127.0.0.1,967
59759072,127.0.0.1,2
59760170,127.0.0.1,1098
59761251,127.0.0.1,1080
59762335,127.0.0.1,1083
59763317,127.0.0.1,982
59763420,127.0.0.1,3
59764501,127.0.0.1,1081
59765601,127.0.0.1,1100
59766684,127.0.0.1,1083
59767665,127.0.0.1,981
59767768,127.0.0.1,3
59768849,127.0.0.1,1081
59769934,127.0.0.1,1085
59771015,127.0.0.1,1081
59771981,127.0.0.1,966
59772100,127.0.0.1,2
59773182,127.0.0.1,1082
59774264,127.0.0.1,1082
59775347,127.0.0.1,1083
59776329,127.0.0.1,982
