Timestamp(ms),IP_Address,RTT(ms),SequenceNum
403570935,127.0.0.1,97,1
403570935,127.0.0.1,97,1
403570949,127.0.0.1,105,2
403570956,127.0.0.1,112,2
403570969,127.0.0.1,118,3
403570970,127.0.0.1,112,4
403570970,127.0.0.1,105,5
403570970,127.0.0.1,98,6
403570970,127.0.0.1,91,7
403570977,127.0.0.1,126,3
403570977,127.0.0.1,118,4
403570977,127.0.0.1,112,5
403570977,127.0.0.1,105,6
403570977,127.0.0.1,98,7
403570977,127.0.0.1,91,8
403570998,127.0.0.1,112,8
403570998,127.0.0.1,106,9
403570998,127.0.0.1,99,10
403570998,127.0.0.1,92,11
403570999,127.0.0.1,85,12
403571005,127.0.0.1,112,9
403571005,127.0.0.1,105,10
403571005,127.0.0.1,98,11
403571005,127.0.0.1,91,12
403571032,127.0.0.1,111,13
403571032,127.0.0.1,104,14
403571032,127.0.0.1,98,15
403571032,127.0.0.1,91,16
403571032,127.0.0.1,84,17
403571039,127.0.0.1,118,13
403571040,127.0.0.1,112,14
403571040,127.0.0.1,106,15
403571040,127.0.0.1,98,16
403571040,127.0.0.1,91,17
403571040,127.0.0.1,85,18
403571040,127.0.0.1,78,19
403571040,127.0.0.1,71,20
403571040,127.0.0.1,64,21
403571040,127.0.0.1,57,22
403571041,127.0.0.1,85,18
403571041,127.0.0.1,78,19
403571041,127.0.0.1,72,20
403571041,127.0.0.1,65,21
403571046,127.0.0.1,63,22
403571046,127.0.0.1,56,23
403571047,127.0.0.1,50,24
403571047,127.0.0.1,43,25
403571047,127.0.0.1,36,26
403571067,127.0.0.1,49,27
403571067,127.0.0.1,77,23
403571067,127.0.0.1,70,24
403571088,127.0.0.1,63,28
403571088,127.0.0.1,57,29
403571088,127.0.0.1,49,30
403571088,127.0.0.1,42,31
403571088,127.0.0.1,35,32
403571095,127.0.0.1,91,25
403571095,127.0.0.1,84,26
403571095,127.0.0.1,77,27
403571095,127.0.0.1,70,28
403571095,127.0.0.1,36,33
403571095,127.0.0.1,29,34
403571096,127.0.0.1,23,35
403571096,127.0.0.1,16,36
403571122,127.0.0.1,35,37
403571122,127.0.0.1,28,38
403571123,127.0.0.1,92,29
403571123,127.0.0.1,84,30
403571123,127.0.0.1,77,31
403571123,127.0.0.1,70,32
403571150,127.0.0.1,49,39
403571150,127.0.0.1,42,40
403571157,127.0.0.1,98,33
403571157,127.0.0.1,91,34
403571157,127.0.0.1,84,35
403571158,127.0.0.1,78,36
403571158,127.0.0.1,71,37
403571158,127.0.0.1,43,41
403571158,127.0.0.1,36,42
403571158,127.0.0.1,64,38
403571178,127.0.0.1,49,43
403571178,127.0.0.1,42,44
403571178,127.0.0.1,35,45
403571178,127.0.0.1,29,46
403571185,127.0.0.1,84,39
403571185,127.0.0.1,77,40
403571185,127.0.0.1,70,41
403571185,127.0.0.1,63,42
403571186,127.0.0.1,57,43
403571186,127.0.0.1,50,44
403571186,127.0.0.1,29,47
403571186,127.0.0.1,21,48
403571186,127.0.0.1,16,49
403571206,127.0.0.1,29,50
403571213,127.0.0.1,70,45
403571213,127.0.0.1,63,46
403571213,127.0.0.1,56,47
403571220,127.0.0.1,36,51
403571220,127.0.0.1,29,52
403571220,127.0.0.1,22,53
403571227,127.0.0.1,62,48
403571227,127.0.0.1,57,49
403571227,127.0.0.1,50,50
403571228,127.0.0.1,43,51
403571228,127.0.0.1,36,52
403571241,127.0.0.1,35,54
403571241,127.0.0.1,29,55
403571241,127.0.0.1,22,56
403571241,127.0.0.1,43,53
403571241,127.0.0.1,35,54
403571241,127.0.0.1,29,55
403571242,127.0.0.1,22,56
403571254,127.0.0.1,28,57
403571255,127.0.0.1,22,58
403571255,127.0.0.1,29,57
403571255,127.0.0.1,22,58
403571275,127.0.0.1,35,59
403571275,127.0.0.1,28,60
403571275,127.0.0.1,35,59
403571276,127.0.0.1,29,60
403571303,127.0.0.1,49,61
403571303,127.0.0.1,42,62
403571303,127.0.0.1,36,63
403571310,127.0.0.1,56,61
403571311,127.0.0.1,50,62
403571311,127.0.0.1,36,64
403571311,127.0.0.1,29,65
403571311,127.0.0.1,43,63
403571311,127.0.0.1,36,64
403571311,127.0.0.1,29,65
403571311,127.0.0.1,21,66
403571311,127.0.0.1,22,66
403571311,127.0.0.1,16,67
403571331,127.0.0.1,29,68
403571338,127.0.0.1,42,67
403571338,127.0.0.1,36,68
403571338,127.0.0.1,28,69
403571338,127.0.0.1,21,70
403571338,127.0.0.1,28,69
403571338,127.0.0.1,22,70
403571338,127.0.0.1,15,71
403571365,127.0.0.1,35,72
403571365,127.0.0.1,42,71
403571366,127.0.0.1,35,72
403571366,127.0.0.1,29,73
403571366,127.0.0.1,29,73
403571394,127.0.0.1,50,74
403571394,127.0.0.1,43,75
403571394,127.0.0.1,36,76
403571401,127.0.0.1,56,74
403571401,127.0.0.1,50,75
403571401,127.0.0.1,43,76
403571401,127.0.0.1,36,77
403571401,127.0.0.1,29,78
403571401,127.0.0.1,36,77
403571401,127.0.0.1,29,78
403571402,127.0.0.1,23,79
403571402,127.0.0.1,16,80
403571428,127.0.0.1,35,81
403571428,127.0.0.1,49,79
403571428,127.0.0.1,42,80
403571428,127.0.0.1,35,81
403571428,127.0.0.1,28,82
403571428,127.0.0.1,28,82
403571428,127.0.0.1,21,83
403571429,127.0.0.1,16,84
403571456,127.0.0.1,35,85
403571465,127.0.0.1,58,83
403571465,127.0.0.1,51,84
403571465,127.0.0.1,43,85
403571465,127.0.0.1,38,86
403571466,127.0.0.1,39,86
403571466,127.0.0.1,32,87
403571466,127.0.0.1,32,87
403571466,127.0.0.1,24,88
403571466,127.0.0.1,18,89
403571466,127.0.0.1,24,88
403571466,127.0.0.1,18,89
403571491,127.0.0.1,36,90
403571491,127.0.0.1,35,90
403571491,127.0.0.1,26,91
403571491,127.0.0.1,20,92
403571491,127.0.0.1,27,91
403571491,127.0.0.1,21,92
403571492,127.0.0.1,16,93
403571518,127.0.0.1,36,94
403571519,127.0.0.1,43,93
403571519,127.0.0.1,36,94
403571519,127.0.0.1,29,95
403571519,127.0.0.1,22,96
403571519,127.0.0.1,29,95
403571519,127.0.0.1,15,97
403571546,127.0.0.1,35,98
403571553,127.0.0.1,56,96
403571553,127.0.0.1,49,97
403571553,127.0.0.1,42,98
403571553,127.0.0.1,35,99
403571553,127.0.0.1,28,100
403571553,127.0.0.1,21,101
403571553,127.0.0.1,35,99
403571554,127.0.0.1,29,100
403571581,127.0.0.1,42,102
403571581,127.0.0.1,36,103
403571581,127.0.0.1,49,101
403571581,127.0.0.1,42,102
403571581,127.0.0.1,35,103
403571582,127.0.0.1,30,104
403571582,127.0.0.1,30,104
403571582,127.0.0.1,22,105
403571582,127.0.0.1,16,106
403571609,127.0.0.1,36,107
403571616,127.0.0.1,56,105
403571616,127.0.0.1,49,106
403571616,127.0.0.1,43,107
403571616,127.0.0.1,36,108
403571616,127.0.0.1,36,108
403571616,127.0.0.1,29,109
403571616,127.0.0.1,22,110
403571643,127.0.0.1,56,109
403571644,127.0.0.1,50,110
403571644,127.0.0.1,43,111
403571644,127.0.0.1,36,112
403571644,127.0.0.1,43,111
403571644,127.0.0.1,36,112
403571644,127.0.0.1,29,113
403571644,127.0.0.1,22,114
403571644,127.0.0.1,15,115
403571671,127.0.0.1,36,116
403571672,127.0.0.1,57,113
403571672,127.0.0.1,50,114
403571672,127.0.0.1,43,115
403571672,127.0.0.1,36,116
403571672,127.0.0.1,29,117
403571672,127.0.0.1,22,118
403571672,127.0.0.1,29,117
403571699,127.0.0.1,43,119
403571699,127.0.0.1,35,120
403571706,127.0.0.1,56,118
403571706,127.0.0.1,50,119
403571706,127.0.0.1,42,120
403571706,127.0.0.1,35,121
403571734,127.0.0.1,64,121
403571734,127.0.0.1,57,122
403571734,127.0.0.1,50,123
403571734,127.0.0.1,43,124
403571735,127.0.0.1,37,125
403571735,127.0.0.1,57,122
403571735,127.0.0.1,51,123
403571735,127.0.0.1,44,124
403571735,127.0.0.1,37,125
403571735,127.0.0.1,30,126
403571735,127.0.0.1,30,126
403571736,127.0.0.1,24,127
403571736,127.0.0.1,18,128
403571761,127.0.0.1,35,129
403571769,127.0.0.1,57,127
403571769,127.0.0.1,50,128
403571769,127.0.0.1,43,129
403571769,127.0.0.1,36,130
403571769,127.0.0.1,36,130
403571769,127.0.0.1,28,131
403571769,127.0.0.1,22,132
403571769,127.0.0.1,15,133
403571796,127.0.0.1,56,131
403571796,127.0.0.1,49,132
403571797,127.0.0.1,43,133
403571797,127.0.0.1,37,134
403571797,127.0.0.1,36,134
403571797,127.0.0.1,29,135
403571797,127.0.0.1,22,136
403571797,127.0.0.1,15,137
403571824,127.0.0.1,36,138
403571824,127.0.0.1,56,135
403571824,127.0.0.1,48,136
403571824,127.0.0.1,42,137
403571824,127.0.0.1,36,138
403571831,127.0.0.1,36,139
403571831,127.0.0.1,35,139
403571831,127.0.0.1,29,140
403571831,127.0.0.1,22,141
403571831,127.0.0.1,28,140
403571832,127.0.0.1,23,141
403571832,127.0.0.1,15,142
403571852,127.0.0.1,35,142
403571852,127.0.0.1,29,143
403571852,127.0.0.1,29,143
403571888,127.0.0.1,58,144
403571888,127.0.0.1,51,145
403571888,127.0.0.1,44,146
403571888,127.0.0.1,58,144
403571888,127.0.0.1,51,145
403571888,127.0.0.1,44,146
403571888,127.0.0.1,37,147
403571889,127.0.0.1,31,148
403571889,127.0.0.1,38,147
403571889,127.0.0.1,31,148
403571914,127.0.0.1,49,149
403571914,127.0.0.1,42,150
403571914,127.0.0.1,35,151
403571914,127.0.0.1,27,152
403571914,127.0.0.1,20,153
403571921,127.0.0.1,56,149
403571921,127.0.0.1,49,150
403571921,127.0.0.1,42,151
403571928,127.0.0.1,29,154
403571928,127.0.0.1,21,155
403571928,127.0.0.1,41,152
403571928,127.0.0.1,34,153
403571928,127.0.0.1,29,154
403571928,127.0.0.1,21,155
403571941,127.0.0.1,28,156
403571942,127.0.0.1,22,157
403571942,127.0.0.1,29,156
403571942,127.0.0.1,21,157
403571956,127.0.0.1,29,158
403571956,127.0.0.1,21,159
403571963,127.0.0.1,36,158
403571963,127.0.0.1,28,159
403571963,127.0.0.1,22,160
403571963,127.0.0.1,22,160
403571963,127.0.0.1,15,161
403571997,127.0.0.1,42,162
403571997,127.0.0.1,49,161
403571997,127.0.0.1,41,162
403572025,127.0.0.1,63,163
403572025,127.0.0.1,56,164
403572025,127.0.0.1,49,165
403572025,127.0.0.1,42,166
403572025,127.0.0.1,63,163
403572026,127.0.0.1,57,164
403572026,127.0.0.1,50,165
403572026,127.0.0.1,43,166
403572026,127.0.0.1,36,167
403572026,127.0.0.1,29,168
403572033,127.0.0.1,43,167
403572033,127.0.0.1,36,168
403572033,127.0.0.1,28,169
403572033,127.0.0.1,22,170
403572033,127.0.0.1,29,169
403572033,127.0.0.1,22,170
403572033,127.0.0.1,15,171
403572053,127.0.0.1,29,172
403572053,127.0.0.1,21,173
403572053,127.0.0.1,35,171
403572053,127.0.0.1,29,172
403572088,127.0.0.1,49,174
403572088,127.0.0.1,43,175
403572095,127.0.0.1,63,173
403572095,127.0.0.1,56,174
403572095,127.0.0.1,49,175
403572095,127.0.0.1,43,176
