Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
19012,0.0000,2021,15190.00,13,161,2,0,0,0,0,0,788390.44,4777.43,313067.75,0.00,0.00,0.00,0.00,0.00
20029,0.0000,2021,15190.00,13,192,2,0,0,0,0,0,788390.44,3580.15,313067.75,0.00,0.00,0.00,0.00,0.00
21042,0.0000,2021,14242.00,16,224,2,0,0,0,0,0,983011.09,4219.78,313067.75,0.00,0.00,0.00,0.00,0.00
22054,0.0000,1936,14242.00,16,256,2,0,0,0,0,0,983011.09,5162.29,313067.75,0.00,0.00,0.00,0.00,0.00
23068,0.0000,2058,14242.00,16,288,2,0,0,0,0,0,983011.09,4544.16,313067.75,0.00,0.00,0.00,0.00,0.00
24081,0.0000,32471,14242.00,46,320,2,0,0,0,0,0,476864.66,3613.50,313067.75,0.00,0.00,0.00,0.00,0.00
25095,0.0000,400080,14242.00,438,352,2,0,0,0,0,0,2671.88,3430.71,313067.75,0.00,0.00,0.00,0.00,0.00
26106,0.0000,566883,15549.00,957,383,2,0,0,0,0,0,2751.70,6894.55,313067.75,0.00,0.00,0.00,0.00,0.00
27121,0.0000,759799,15549.00,1694,415,2,0,0,0,0,0,1863.63,6856.46,313067.75,0.00,0.00,0.00,0.00,0.00
28135,0.0000,920272,15549.00,2598,447,2,0,0,0,0,0,1359.14,6192.71,313067.75,0.00,0.00,0.00,0.00,0.00
29148,0.0000,1109248,15549.00,3688,479,2,0,0,0,0,0,1189.84,6643.71,313067.75,0.00,0.00,0.00,0.00,0.00
30157,0.0000,1335745,15549.00,5010,510,2,0,0,0,0,0,454.56,8862.92,313067.75,0.00,0.00,0.00,0.00,0.00
31157,0.0000,1613312,20598.00,6489,542,2,0,0,0,0,0,547.90,8408.45,313067.75,0.00,0.00,0.00,0.00,0.00
32157,0.0000,1677144,20598.00,8106,574,2,0,0,0,0,0,917.67,9883.76,313067.75,0.00,0.00,0.00,0.00,0.00
