Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
5090,0.0000,2065,17527.00,6,154,0,0,0,0,0,0,312188.98,2448.67,0.00,0.00,0.00,0.00,0.00,0.00
6100,0.0000,2047,13519.00,7,186,0,0,0,0,0,0,304372.16,2590.66,0.00,0.00,0.00,0.00,0.00,0.00
7100,0.0000,2117,13519.00,7,218,0,0,0,0,0,0,304372.16,9020.68,0.00,0.00,0.00,0.00,0.00,0.00
8110,0.0000,1999,13519.00,7,249,0,0,0,0,0,0,304372.16,4319.70,0.00,0.00,0.00,0.00,0.00,0.00
9110,0.0000,1940,13519.00,7,280,0,0,0,0,0,0,304372.16,2659.42,0.00,0.00,0.00,0.00,0.00,0.00
10123,0.0000,20392,13519.00,27,312,0,0,0,0,0,0,380301.34,2934.44,0.00,0.00,0.00,0.00,0.00,0.00
11133,0.0000,152253,29379.00,158,343,0,0,0,0,0,0,12930.96,9252.93,0.00,0.00,0.00,0.00,0.00,0.00
12147,0.0000,67085,29379.00,223,362,0,0,0,0,0,0,28578.31,33885.41,0.00,0.00,0.00,0.00,0.00,0.00
13162,0.0000,32615,29379.00,253,399,0,0,0,0,0,0,57022.57,52886.22,0.00,0.00,0.00,0.00,0.00,0.00
14175,0.0000,6811,29379.00,259,412,0,0,0,0,0,0,82017.84,62689.54,0.00,0.00,0.00,0.00,0.00,0.00
15187,0.0000,6452,29379.00,264,436,0,0,0,0,0,0,135131.84,62401.37,0.00,0.00,0.00,0.00,0.00,0.00
16187,0.9231,10930,512634.00,272,484,0,0,0,0,0,0,163132.15,40844.57,0.00,0.00,0.00,0.00,0.00,0.00
17198,0.0000,0,512634.00,272,484,0,0,0,0,0,0,163132.15,40844.57,0.00,0.00,0.00,0.00,0.00,0.00
18213,0.0000,4368,1313178.00,278,506,0,0,0,0,0,0,205984.56,64591.65,0.00,0.00,0.00,0.00,0.00,0.00
19224,0.0000,0,1313178.00,278,506,0,0,0,0,0,0,205984.56,64591.65,0.00,0.00,0.00,0.00,0.00,0.00
20239,0.0000,4365,1313178.00,281,529,0,0,0,0,0,0,298521.51,95353.05,0.00,0.00,0.00,0.00,0.00,0.00
21250,0.0000,0,1313178.00,281,529,0,0,0,0,0,0,298521.51,95353.05,0.00,0.00,0.00,0.00,0.00,0.00
22265,1.0000,0,1313178.00,281,529,0,0,0,0,0,0,298521.51,95353.05,0.00,0.00,0.00,0.00,0.00,0.00
23277,0.0000,2861,1313178.00,281,579,0,0,0,0,0,0,298521.51,46293.69,0.00,0.00,0.00,0.00,0.00,0.00
24290,1.0000,0,1313178.00,281,579,0,0,0,0,0,0,298521.51,46293.69,0.00,0.00,0.00,0.00,0.00,0.00
25305,0.0000,2964,2906355.00,281,629,0,0,0,0,0,0,298521.51,31543.47,0.00,0.00,0.00,0.00,0.00,0.00
26320,0.0000,0,2906355.00,281,629,0,0,0,0,0,0,298521.51,31543.47,0.00,0.00,0.00,0.00,0.00,0.00
27332,0.3462,4392,2897044.00,284,704,0,0,0,0,0,0,748282.89,6749.20,0.00,0.00,0.00,0.00,0.00,0.00
28346,0.0000,0,2897044.00,284,704,0,0,0,0,0,0,748282.89,6749.20,0.00,0.00,0.00,0.00,0.00,0.00
29358,1.0000,0,2897044.00,284,704,0,0,0,0,0,0,748282.89,6749.20,0.00,0.00,0.00,0.00,0.00,0.00
30370,0.0000,0,2897044.00,284,704,0,0,0,0,0,0,748282.89,6749.20,0.00,0.00,0.00,0.00,0.00,0.00
31370,0.0000,2971,5378685.00,284,755,0,0,0,0,0,0,748282.89,37807.10,0.00,0.00,0.00,0.00,0.00,0.00
32382,0.0000,0,5378685.00,284,755,0,0,0,0,0,0,748282.89,37807.10,0.00,0.00,0.00,0.00,0.00,0.00
33395,1.0000,4335,3388874.00,286,830,0,0,0,0,0,0,1001461.26,6946.72,0.00,0.00,0.00,0.00,0.00,0.00
34409,0.0000,0,3388874.00,286,830,0,0,0,0,0,0,1001461.26,6946.72,0.00,0.00,0.00,0.00,0.00,0.00
35421,0.5000,0,3388874.00,286,830,0,0,0,0,0,0,1001461.26,6946.72,0.00,0.00,0.00,0.00,0.00,0.00
36435,0.0000,7493,1518385.00,289,954,0,0,0,0,0,0,1090931.77,726.26,0.00,0.00,0.00,0.00,0.00,0.00
37447,0.0000,1469,890300.00,291,979,0,0,0,0,0,0,1047082.90,11045.75,0.00,0.00,0.00,0.00,0.00,0.00
38461,0.0000,1262,890300.00,291,1001,0,0,0,0,0,0,1047082.90,59015.89,0.00,0.00,0.00,0.00,0.00,0.00
39474,0.0000,5531,890300.00,292,1097,0,0,0,0,0,0,1058338.49,10833.94,0.00,0.00,0.00,0.00,0.00,0.00
40487,0.0000,1912,890300.00,293,1128,0,0,0,0,0,0,1040074.09,4452.81,0.00,0.00,0.00,0.00,0.00,0.00
41501,0.0000,2112,15518.00,295,1160,0,0,0,0,0,0,967275.42,4024.56,0.00,0.00,0.00,0.00,0.00,0.00
42513,0.0000,1936,15518.00,295,1192,0,0,0,0,0,0,967275.42,3207.41,0.00,0.00,0.00,0.00,0.00,0.00
43528,0.0000,2065,15518.00,295,1224,0,0,0,0,0,0,967275.42,4303.40,0.00,0.00,0.00,0.00,0.00,0.00
44543,0.0000,1999,15518.00,295,1256,0,0,0,0,0,0,967275.42,5054.93,0.00,0.00,0.00,0.00,0.00,0.00
45556,0.0000,1967,15518.00,296,1287,0,0,0,0,0,0,1101855.89,4073.44,0.00,0.00,0.00,0.00,0.00,0.00
46570,0.0000,1994,13609.00,298,1320,0,0,0,0,0,0,1038539.43,4499.20,0.00,0.00,0.00,0.00,0.00,0.00
47583,0.0000,2058,13609.00,298,1352,0,0,0,0,0,0,1038539.43,3995.38,0.00,0.00,0.00,0.00,0.00,0.00
48595,0.0000,2054,13609.00,298,1384,0,0,0,0,0,0,1038539.43,1657.63,0.00,0.00,0.00,0.00,0.00,0.00
49611,0.0000,1877,13609.00,298,1415,0,0,0,0,0,0,1038539.43,3703.91,0.00,0.00,0.00,0.00,0.00,0.00
50619,0.0000,2085,13609.00,299,1447,0,0,0,0,0,0,1160377.65,1779.85,0.00,0.00,0.00,0.00,0.00,0.00
51619,0.0000,1994,13797.00,301,1478,0,0,0,0,0,0,1103213.18,2772.31,0.00,0.00,0.00,0.00,0.00,0.00
52632,0.0000,1936,13797.00,301,1510,0,0,0,0,0,0,1103213.18,4384.91,0.00,0.00,0.00,0.00,0.00,0.00
53644,0.0000,2117,13797.00,301,1542,0,0,0,0,0,0,1103213.18,3513.59,0.00,0.00,0.00,0.00,0.00,0.00
54644,0.0000,1940,13797.00,301,1573,0,0,0,0,0,0,1103213.18,3111.87,0.00,0.00,0.00,0.00,0.00,0.00
55656,0.0000,2089,13797.00,302,1605,0,0,0,0,0,0,1214876.95,2289.80,0.00,0.00,0.00,0.00,0.00,0.00
56666,0.0000,1994,16230.00,304,1636,0,0,0,0,0,0,1162573.34,4798.75,0.00,0.00,0.00,0.00,0.00,0.00
57666,0.0000,1936,16230.00,304,1668,0,0,0,0,0,0,1162573.34,2060.46,0.00,0.00,0.00,0.00,0.00,0.00
58678,0.0000,2117,16230.00,304,1700,0,0,0,0,0,0,1162573.34,3925.31,0.00,0.00,0.00,0.00,0.00,0.00
59692,0.0000,1940,16230.00,304,1731,0,0,0,0,0,0,1162573.34,3505.32,0.00,0.00,0.00,0.00,0.00,0.00
