Timestamp(ms),Throughput(B/s)
19012,2021
20029,2021
21042,2021
22054,1936
23068,2058
24081,32471
25095,400080
26106,566883
27121,759799
28135,920272
29148,1109248
30157,1335745
31157,1613312
32157,1677144
33168,1860072
34182,2260541
35193,2373249
36207,2571409
37221,2570311
38233,3079334
39246,3053872
40261,3378022
41271,3528296
42284,2770672
43284,2054
44298,1881
45311,2143
46325,1881
47339,2058
48352,2058
49365,1940
50379,2025
51393,1947
52405,1999
53417,1877
54417,1999
55429,2080
56442,1936
57454,2006
58468,1881
59481,2058
60496,2084
61508,1881
62523,2058
63537,1936
64548,1888
65564,2021
66576,1999
67588,2117
68601,2058
69614,1999
70629,1910
71640,2058
72640,1940
73652,2054
74667,1995
75678,2025
76692,2065
77705,1936
78716,1940
79717,2117
80730,2084
81743,1999
82757,1877
83769,2054
84782,1999
85795,2080
86808,2058
87822,1999
88837,1995
89849,1888
90862,2143
91876,1940
92888,2058
93903,2058
94914,1936
95929,2087
96943,2058
97954,1936
98969,2058
99984,1995
100997,2080
102009,1881
103021,2058
104036,1999
105048,1940
106063,2195
107077,1999
108088,1995
109102,2006
110115,1999
111129,2143
112142,1940
113154,1940
114169,1995
115181,1963
116197,1946
117208,2054
118222,2058
119235,1881
120249,2171
121263,2037
122274,1947
123289,1995
124302,1995
125316,2018
126329,2089
127342,2054
128356,1888
129368,2117
130382,2080
131396,1999
132407,1940
133422,1999
134436,1947
135449,2139
136461,2058
137476,1940
138489,2058
139501,2054
140517,2021
141530,2113
142541,1999
143556,1999
144569,1940
145582,2084
146595,1995
147610,1829
148624,2176
149635,1995
150650,2084
151663,1940
152675,1940
153688,2054
154704,1829
155714,2143
156727,1999
157742,1940
158754,1940
159769,1936
