Timestamp(ms),Throughput(B/s)
5090,2065
6100,2047
7100,2117
8110,1999
9110,1940
10123,20392
11133,152253
12147,67085
13162,32615
14175,6811
15187,6452
16187,10930
17198,0
18213,4368
19224,0
20239,4365
21250,0
22265,0
23277,2861
24290,0
25305,2964
26320,0
27332,4392
28346,0
29358,0
30370,0
31370,2971
32382,0
33395,4335
34409,0
35421,0
36435,7493
37447,1469
38461,1262
39474,5531
40487,1912
41501,2112
42513,1936
43528,2065
44543,1999
45556,1967
46570,1994
47583,2058
48595,2054
49611,1877
50619,2085
51619,1994
52632,1936
53644,2117
54644,1940
55656,2089
56666,1994
57666,1936
58678,2117
59692,1940
60705,2026
61719,2112
62733,2006
63744,1999
64758,2117
65771,2030
66784,1990
67800,2113
68812,1947
69827,2054
70839,2089
71856,2053
72865,1995
73880,1881
74893,2058
75908,1860
76919,1994
77932,2058
78947,1940
79961,1940
80972,2030
81986,2001
82998,2054
84011,1995
85025,1940
86025,2026
87036,2108
88049,1888
89063,2113
90075,1936
91089,1990
92103,2112
93116,1881
94129,2113
95142,1995
96157,1990
97169,2030
98182,1995
99194,1999
100209,2082
101223,2091
102235,1940
103249,2058
104264,1999
105277,1912
106290,2202
107302,1888
108315,1940
109330,2113
110343,2026
111357,1990
112369,1999
113381,1995
114393,2113
115393,2030
116406,1994
117419,2058
118433,1999
119446,1881
120458,2096
121473,1994
122487,1940
123499,2058
124515,1936
125529,1967
126539,1942
127551,1995
128564,2058
129579,1999
130588,1971
131589,2049
132602,1999
133615,1829
134631,2058
135642,1971
136654,2112
137670,2113
138684,1940
139695,1947
140709,2089
141723,2053
142735,1881
143750,2054
144763,1999
145776,1860
146789,2112
147803,1936
148816,1936
149831,2117
