Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
99944743,0.0000,2061,12304.00,6,133,0,0,0,0,0,0,312738.76,4674.71,0.00,0.00,0.00,0.00,0.00,0.00
99945749,0.0000,2068,12304.00,6,164,0,0,0,0,0,0,312738.76,3721.25,0.00,0.00,0.00,0.00,0.00,0.00
99946749,0.0000,2058,12304.00,6,196,0,0,0,0,0,0,312738.76,2280.99,0.00,0.00,0.00,0.00,0.00,0.00
99947749,0.0000,2054,12304.00,6,227,0,0,0,0,0,0,312738.76,2990.68,0.00,0.00,0.00,0.00,0.00,0.00
99948749,0.0000,1940,12304.00,6,258,0,0,0,0,0,0,312738.76,4825.54,0.00,0.00,0.00,0.00,0.00,0.00
99949749,0.0000,6075,12304.00,11,290,0,0,0,0,0,0,575329.82,2972.17,0.00,0.00,0.00,0.00,0.00,0.00
99950755,0.0000,382815,12304.00,395,322,0,0,0,0,0,0,3367.29,3256.69,0.00,0.00,0.00,0.00,0.00,0.00
99951755,0.0000,558686,12304.00,914,353,0,0,0,0,0,0,2486.75,5973.98,0.00,0.00,0.00,0.00,0.00,0.00
99952755,0.0000,742472,12304.00,1637,385,0,0,0,0,0,0,1893.34,7400.08,0.00,0.00,0.00,0.00,0.00,0.00
99953755,0.0000,941663,12304.00,2507,416,0,0,0,0,0,0,1535.64,8672.91,0.00,0.00,0.00,0.00,0.00,0.00
99954755,0.0000,1082919,12304.00,3555,448,0,0,0,0,0,0,342.97,7419.10,0.00,0.00,0.00,0.00,0.00,0.00
99955755,0.0000,1421281,13125.00,4825,479,0,0,0,0,0,0,921.89,8870.64,0.00,0.00,0.00,0.00,0.00,0.00
99956761,0.0000,1510575,13125.00,6265,511,0,0,0,0,0,0,807.34,8450.70,0.00,0.00,0.00,0.00,0.00,0.00
99957761,0.0000,1776815,13125.00,7913,542,0,0,0,0,0,0,807.88,10646.00,0.00,0.00,0.00,0.00,0.00,0.00
99958761,0.0000,1835688,13125.00,9696,574,0,0,0,0,0,0,1001.17,9243.34,0.00,0.00,0.00,0.00,0.00,0.00
99959761,0.0000,2191430,13125.00,11709,605,0,0,0,0,0,0,185.93,7561.23,0.00,0.00,0.00,0.00,0.00,0.00
99960767,0.0000,2287902,13125.00,13835,637,0,0,0,0,0,0,575.62,9132.28,0.00,0.00,0.00,0.00,0.00,0.00
99961767,0.0000,2683142,13125.00,16219,668,0,0,0,0,0,0,447.78,10138.41,0.00,0.00,0.00,0.00,0.00,0.00
99962767,0.0000,2554062,13125.00,18555,700,0,0,0,0,0,0,420.92,10149.14,0.00,0.00,0.00,0.00,0.00,0.00
99963773,0.0000,3064087,13125.00,21505,732,0,0,0,0,0,0,330.33,10153.22,0.00,0.00,0.00,0.00,0.00,0.00
99964773,0.0000,3290742,13125.00,24438,763,0,0,0,0,0,0,26.38,9765.67,0.00,0.00,0.00,0.00,0.00,0.00
99965773,0.0000,3302831,13125.00,27592,795,0,0,0,0,0,0,153.87,11136.28,0.00,0.00,0.00,0.00,0.00,0.00
99966773,0.0000,3774326,13125.00,31032,826,0,0,0,0,0,0,53.52,7427.14,0.00,0.00,0.00,0.00,0.00,0.00
99967780,0.0000,2728796,13125.00,33518,857,0,0,0,0,0,0,181.00,6763.63,0.00,0.00,0.00,0.00,0.00,0.00
99968786,0.0000,2113,13125.00,33518,890,0,0,0,0,0,0,181.00,1537.00,0.00,0.00,0.00,0.00,0.00,0.00
99969786,0.0000,1983,13125.00,33520,921,0,0,0,0,0,0,145639.34,3344.23,0.00,0.00,0.00,0.00,0.00,0.00
99970786,0.0000,2018,10974.00,33521,952,0,0,0,0,0,0,182434.62,5052.45,0.00,0.00,0.00,0.00,0.00,0.00
99971786,0.0000,1999,10974.00,33521,983,0,0,0,0,0,0,182434.62,3952.51,0.00,0.00,0.00,0.00,0.00,0.00
99972792,0.0000,1881,10974.00,33521,1014,0,0,0,0,0,0,182434.62,3667.43,0.00,0.00,0.00,0.00,0.00,0.00
99973792,0.0000,1940,10974.00,33521,1046,0,0,0,0,0,0,182434.62,3988.12,0.00,0.00,0.00,0.00,0.00,0.00
99974792,0.0000,1994,10974.00,33523,1077,0,0,0,0,0,0,418800.55,4095.92,0.00,0.00,0.00,0.00,0.00,0.00
