Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
100125013,0.0000,2084,11669.00,6,157,0,0,0,0,0,0,313054.65,2388.72,0.00,0.00,0.00,0.00,0.00,0.00
100126013,0.0000,1966,11669.00,6,189,0,0,0,0,0,0,313054.65,2399.16,0.00,0.00,0.00,0.00,0.00,0.00
100127014,0.0000,2046,11669.00,8,220,0,0,0,0,0,0,587596.00,4170.83,0.00,0.00,0.00,0.00,0.00,0.00
100128020,0.0000,2046,11669.00,8,251,0,0,0,0,0,0,587596.00,3285.42,0.00,0.00,0.00,0.00,0.00,0.00
100129026,0.0000,2058,11669.00,8,283,0,0,0,0,0,0,587596.00,2326.00,0.00,0.00,0.00,0.00,0.00,0.00
100130026,0.0000,2117,11669.00,8,314,0,0,0,0,0,0,587596.00,2845.53,0.00,0.00,0.00,0.00,0.00,0.00
100131032,0.0000,148009,11669.00,152,345,0,0,0,0,0,0,13609.01,10158.35,0.00,0.00,0.00,0.00,0.00,0.00
100132032,0.0000,75426,11669.00,221,365,0,0,0,0,0,0,28722.44,33695.00,0.00,0.00,0.00,0.00,0.00,0.00
100133032,0.4355,44853,11669.00,265,402,0,0,0,0,0,0,47721.91,56629.52,0.00,0.00,0.00,0.00,0.00,0.00
100134032,1.0000,6821,593051.00,271,415,0,0,0,0,0,0,71346.35,62259.97,0.00,0.00,0.00,0.00,0.00,0.00
100135032,0.0000,6482,928064.00,277,439,0,0,0,0,0,0,115086.00,56798.48,0.00,0.00,0.00,0.00,0.00,0.00
100136032,0.0000,16964,928064.00,291,487,0,0,0,0,0,0,138581.78,45967.50,0.00,0.00,0.00,0.00,0.00,0.00
100137032,0.0000,8345,928064.00,291,487,0,0,0,0,0,0,138581.78,45967.50,0.00,0.00,0.00,0.00,0.00,0.00
100138032,0.0000,4361,928064.00,294,510,0,0,0,0,0,0,190646.45,63157.28,0.00,0.00,0.00,0.00,0.00,0.00
100139032,0.0000,0,928064.00,294,510,0,0,0,0,0,0,190646.45,63157.28,0.00,0.00,0.00,0.00,0.00,0.00
100140038,0.0000,4317,928064.00,297,532,0,0,0,0,0,0,284854.63,98207.37,0.00,0.00,0.00,0.00,0.00,0.00
100141044,0.0000,0,928064.00,297,532,0,0,0,0,0,0,284854.63,98207.37,0.00,0.00,0.00,0.00,0.00,0.00
100142044,0.0000,0,928064.00,297,532,0,0,0,0,0,0,284854.63,98207.37,0.00,0.00,0.00,0.00,0.00,0.00
100143044,0.0000,5384,928064.00,300,608,0,0,0,0,0,0,442759.77,11442.68,0.00,0.00,0.00,0.00,0.00,0.00
100144044,0.0000,0,928064.00,300,608,0,0,0,0,0,0,442759.77,11442.68,0.00,0.00,0.00,0.00,0.00,0.00
100145044,0.0000,5827,928064.00,304,639,0,0,0,0,0,0,548949.96,76986.85,0.00,0.00,0.00,0.00,0.00,0.00
