Timestamp(ms),Throughput(B/s)
99944743,2061
99945749,2068
99946749,2058
99947749,2054
99948749,1940
99949749,6075
99950755,382815
99951755,558686
99952755,742472
99953755,941663
99954755,1082919
99955755,1421281
99956761,1510575
99957761,1776815
99958761,1835688
99959761,2191430
99960767,2287902
99961767,2683142
99962767,2554062
99963773,3064087
99964773,3290742
99965773,3302831
99966773,3774326
99967780,2728796
99968786,2113
99969786,1983
99970786,2018
99971786,1999
99972792,1881
99973792,1940
99974792,1994
99975792,2105
99976792,2117
99977798,1940
99978798,1995
99979798,1987
99980798,2053
99981798,2054
99982798,1936
99983804,1999
99984804,2046
99985805,2195
99986810,1829
99987811,1940
99988817,1999
99989817,2104
99990817,1936
99991824,1940
99992830,2006
99993830,2058
99994830,1987
99995830,1940
99996830,1999
99997830,2058
99998836,1888
99999836,2042
100000836,2073
100001836,2058
100002843,2113
100003849,1881
100004849,1994
100005849,2046
100006855,2058
100007855,1940
100008855,1995
100009862,2164
100010868,1881
100011868,1999
100012868,1999
100013868,1999
100014875,2159
100015881,1912
100016881,2006
100017881,2058
100018887,1940
100019888,2046
100020894,2002
100021894,2058
100022894,1888
100023894,2054
100024900,1928
100025900,1995
100026900,2058
100027900,2058
100028900,1888
100029906,2046
100030907,2096
100031913,2058
100032913,2117
100033919,1995
100034919,1934
100035919,2058
100036919,2058
100037925,1940
100038926,1999
100039932,2042
100040932,2006
100041932,1999
100042939,1936
100043945,1999
100044945,2046
100045945,2148
100046945,1947
100047945,1940
100048951,1936
100049951,2101
100050951,1881
100051951,1940
100052957,1947
100053958,2054
100054964,1987
100055964,1940
100056964,1940
100057964,2117
100058970,1829
100059970,2046
100060970,2026
100061970,2117
100062970,1940
100063970,1940
100064976,2112
100065976,2054
100066982,1936
100067982,1999
100068982,1999
100069983,2046
100070988,1829
100071988,1999
100072989,1995
100073995,2058
100074995,2045
100075995,1971
100077001,2117
100078001,1999
100079001,1999
100080001,2101
100081007,1999
100082007,1999
100083007,1888
100084007,1999
100085007,2046
100086013,2054
