Timestamp(ms),Throughput(B/s)
100125013,2084
100126013,1966
100127014,2046
100128020,2046
100129026,2058
100130026,2117
100131032,148009
100132032,75426
100133032,44853
100134032,6821
100135032,6482
100136032,16964
100137032,8345
100138032,4361
100139032,0
100140038,4317
100141044,0
100142044,0
100143044,5384
100144044,0
100145044,5827
100146044,0
100147044,5681
100148050,5681
100149050,0
100150050,0
100151056,4255
100152056,0
100153056,4226
100154062,0
100155063,0
100156063,6073
100157070,4025
100158077,0
100159083,4944
100160089,1940
100161090,2029
100162096,1971
100163096,2026
100164102,2058
100165102,1995
100166102,2081
100167102,1919
100168102,1999
100169102,2054
100170102,2054
100171108,1963
100172108,1908
100173108,1947
100174114,2058
100175114,2117
100176114,1963
100177121,1908
100178121,2179
100179128,2006
100180134,1999
100181134,1959
100182134,2030
100183140,2148
100184140,1940
100185140,1947
100186140,2022
100187140,2085
100188140,2144
100189140,1936
100190146,2058
100191146,1970
100192146,1971
100193146,1967
100194152,1999
100195152,2117
100196152,2081
100197152,1919
100198159,2006
100199159,2058
100200165,1940
100201165,1963
100202171,2085
100203171,1978
100204171,2054
100205171,2117
100206171,1900
100207178,2085
100208185,2026
100209191,2006
100210191,1877
100211191,1959
100212197,2030
100213197,1999
100214197,2113
100215197,1829
100216197,2018
100217197,1971
100218203,2085
100219203,2176
100220203,1999
100221203,1970
100222209,2030
100223209,2030
100224209,2058
100225215,1940
100226215,2022
100227215,1919
100228215,2065
100229215,2054
100230222,1936
100231222,2018
100232228,2030
100233228,2096
100234228,2113
100235234,1940
100236234,2081
100237235,2030
100238241,1971
100239241,1888
100240247,2058
100241247,2081
100242247,1971
100243247,1940
100244247,1936
100245254,2006
100246260,2077
100247260,2144
100248260,1940
100249260,1999
100250260,2058
100251267,2029
100252273,2026
100253280,2030
100254286,1999
100255286,1940
100256286,1963
100257286,1978
100258292,1995
100259292,2117
100260292,1940
100261292,1963
100262299,2089
100263305,2013
100264306,1936
100265312,1940
100266312,2081
100267319,2144
100268325,2085
100269325,1947
100270325,1940
