Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
26514,0,0,3150,3150,0,4130,0,0,0,0,0,0.0000,21,304,0,0,17,292,2,14,0,0,0,0
27514,0,0,3084,3084,0,4089,0,0,0,0,0,0.0000,23,374,0,0,19,356,2,20,0,0,0,0
28514,0,0,2909,2909,0,3843,0,0,0,0,0,0.0000,26,438,0,0,22,418,2,22,0,0,0,0
29514,0,0,3136,3136,0,4108,0,0,0,0,0,0.0000,26,504,0,0,22,482,2,24,0,0,0,0
30515,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,26,568,0,0,22,544,2,26,0,0,0,0
31516,0,0,3226,3226,0,4234,0,0,0,0,0,0.0000,26,634,0,0,22,608,2,28,0,0,0,0
32516,0,0,159586436,761764,0,767717,0,0,0,158824672,0,0.0000,28,696,0,158160,158184,670,2,28,0,0,0,0
33519,0,0,162653889,1071620,0,1079739,0,0,0,208242465,0,0.0000,31,762,0,314600,314627,734,2,30,0,0,0,0
34523,0,0,167900736,1518654,0,1529868,0,0,0,206759235,0,0.0000,31,828,0,470600,470627,798,2,32,0,0,0,0
35523,0,0,160030356,1795949,0,1809048,0,0,0,206697686,0,0.0000,31,892,0,626600,626627,860,2,34,0,0,0,0
36525,0,0,170524226,2253296,0,2269626,0,0,0,203928990,0,0.0000,31,958,0,782600,782627,924,2,36,0,0,0,0
37525,0,0,160030399,2688957,0,2708274,0,0,0,201245050,0,0.0000,34,1022,0,938600,938630,986,2,38,0,0,0,0
38528,0,0,165277258,3063355,0,3085286,0,0,0,199909134,0,0.0000,37,1086,0,1094600,1094633,1050,2,38,0,0,0,0
39532,0,0,162653756,3413376,0,3437696,0,0,0,199835477,0,0.0000,37,1150,0,1250600,1250633,1112,2,40,0,0,0,0
40532,0,0,173147536,3951353,0,3979444,0,0,0,199757784,0,0.0000,37,1214,0,1406600,1406633,1174,2,42,0,0,0,0
41534,0,0,160030382,4162063,0,4181420,17,0,0,198278590,0,0.0000,39,1280,0,1562600,1562635,1238,2,44,0,0,0,0
42535,0,0,173147652,4762705,0,4796457,0,0,0,196901305,0,0.0000,39,1346,0,1718600,1718635,1302,2,46,0,0,0,0
43539,0,0,165277289,5145962,0,5182347,0,0,0,196881125,0,0.0000,42,1410,0,1874600,1874638,1364,2,48,0,0,0,0
44539,0,0,170524060,5233716,0,5270684,0,0,0,195673352,0,0.0000,42,1474,0,2030600,2030638,1428,2,48,0,0,0,0
45542,0,0,165277336,6135838,0,6179084,0,0,0,192823936,0,0.0000,42,1540,0,2186600,2186638,1492,2,50,0,0,0,0
46547,0,0,173147562,6534419,0,6580436,0,0,0,195393859,0,0.0000,44,1604,0,2345200,2345240,1554,2,52,0,0,0,0
47549,0,0,167900672,6825930,0,6873957,0,0,0,193981259,0,0.0000,44,1670,0,2501200,2501240,1618,2,54,0,0,0,0
48552,0,0,102315599,7062972,0,7112641,0,0,0,134951732,0,0.0000,47,1734,0,2600000,2600043,1680,2,56,0,0,0,0
49554,0,0,2956,6119514,0,6162664,0,0,0,0,0,0.0000,47,1798,0,2600000,2600043,1742,2,58,0,0,0,0
50555,0,0,2880,2880,0,3776,0,0,0,0,0,0.0000,47,1862,0,2600000,2600043,1806,2,58,0,0,0,0
51558,0,0,3072,3072,0,4030,0,0,0,0,0,0.0000,49,1926,0,2600000,2600045,1868,2,60,0,0,0,0
52559,0,0,3089,3089,0,4076,0,0,0,0,0,0.0000,50,1992,0,2600000,2600046,1932,2,62,0,0,0,0
53561,0,0,3089,3089,0,4083,0,0,0,0,0,0.0000,53,2056,0,2600000,2600049,1994,2,64,0,0,0,0
54562,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,53,2120,0,2600000,2600049,2056,2,66,0,0,0,0
55562,0,0,3226,3226,0,4234,0,0,0,0,0,0.0000,53,2186,0,2600000,2600049,2120,2,68,0,0,0,0
56565,0,0,2996,2996,0,3941,0,0,0,0,0,0.0000,55,2248,0,2600000,2600051,2182,2,68,0,0,0,0
57565,0,0,2956,2956,0,3887,0,0,0,0,0,0.0000,55,2314,0,2600000,2600051,2246,2,70,0,0,0,0
58567,0,0,3089,3089,0,4083,0,0,0,0,0,0.0000,58,2378,0,2600000,2600054,2308,2,72,0,0,0,0
59568,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,58,2444,0,2600000,2600054,2372,2,74,0,0,0,0
60571,0,0,3136,3136,0,4108,0,0,0,0,0,0.0000,58,2508,0,2600000,2600054,2434,2,76,0,0,0,0
61572,0,0,2982,2982,0,3927,0,0,0,0,0,0.0000,60,2572,0,2600000,2600056,2496,2,78,0,0,0,0
62574,0,0,2880,2880,0,3776,0,0,0,0,0,0.0000,60,2636,0,2600000,2600056,2560,2,78,0,0,0,0
63576,0,0,3089,3089,0,4075,0,0,0,0,0,0.0000,63,2700,0,2600000,2600059,2622,2,80,0,0,0,0
64577,0,0,3046,3046,0,3990,0,0,0,0,0,0.0000,63,2766,0,2600000,2600059,2686,2,82,0,0,0,0
65578,0,0,3136,3136,0,4116,0,0,0,0,0,0.0000,63,2830,0,2600000,2600059,2748,2,84,0,0,0,0
66580,0,0,2982,2982,0,3927,0,0,0,0,0,0.0000,65,2894,0,2600000,2600061,2810,2,86,0,0,0,0
67581,0,0,2973,2973,0,3911,0,0,0,0,0,0.0000,66,2960,0,2600000,2600062,2874,2,88,0,0,0,0
68582,0,0,2923,2923,0,3861,0,0,0,0,0,0.0000,69,3020,0,2600000,2600065,2934,2,88,0,0,0,0
69585,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,69,3086,0,2600000,2600065,2998,2,90,0,0,0,0
70586,0,0,3136,3136,0,4116,0,0,0,0,0,0.0000,69,3152,0,2600000,2600065,3062,2,92,0,0,0,0
71587,0,0,2982,2982,0,3922,0,0,0,0,0,0.0000,71,3216,0,2600000,2600067,3124,2,94,0,0,0,0
72588,0,0,3252,3252,0,4276,0,0,0,0,0,0.0000,71,3282,0,2600000,2600067,3188,2,96,0,0,0,0
73591,0,0,2999,2999,0,3965,0,0,0,0,0,0.0000,74,3346,0,2600000,2600070,3250,2,98,0,0,0,0
74591,0,0,2880,2880,0,3776,0,0,0,0,0,0.0000,74,3410,0,2600000,2600070,3314,2,98,0,0,0,0
75594,0,0,3136,3136,0,4116,0,0,0,0,0,0.0000,74,3476,0,2600000,2600070,3378,2,100,0,0,0,0
76594,0,0,3072,3072,0,4045,0,0,0,0,0,0.0000,76,3540,0,2600000,2600072,3440,2,102,0,0,0,0
77598,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,76,3606,0,2600000,2600072,3504,2,104,0,0,0,0
78598,0,0,3089,3089,0,4079,0,0,0,0,0,0.0000,79,3670,0,2600000,2600075,3566,2,106,0,0,0,0
79603,0,0,3046,3046,0,3998,0,0,0,0,0,0.0000,79,3736,0,2600000,2600075,3630,2,108,0,0,0,0
80604,0,0,3060,3060,0,4012,0,0,0,0,0,0.0000,79,3798,0,2600000,2600075,3692,2,108,0,0,0,0
81605,0,0,3072,3072,0,4037,0,0,0,0,0,0.0000,81,3862,0,2600000,2600077,3754,2,110,0,0,0,0
82609,0,0,3179,3179,0,4186,0,0,0,0,0,0.0000,82,3928,0,2600000,2600078,3818,2,112,0,0,0,0
83611,0,0,3089,3089,0,4083,0,0,0,0,0,0.0000,85,3992,0,2600000,2600081,3880,2,114,0,0,0,0
84615,0,0,3136,3136,0,4108,0,0,0,0,0,0.0000,85,4058,0,2600000,2600081,3944,2,116,0,0,0,0
85615,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,85,4122,0,2600000,2600081,4006,2,118,0,0,0,0
86616,0,0,3266,3266,0,4295,0,0,0,0,0,0.0000,87,4186,0,2600000,2600083,4070,2,118,0,0,0,0
87616,0,0,3162,3162,0,4163,0,0,0,0,0,0.0000,87,4250,0,2600000,2600083,4132,2,120,0,0,0,0
88619,0,0,3089,3089,0,4083,0,0,0,0,0,0.0000,90,4316,0,2600000,2600086,4196,2,122,0,0,0,0
89619,0,0,2956,2956,0,3880,0,0,0,0,0,0.0000,90,4380,0,2600000,2600086,4258,2,124,0,0,0,0
90621,0,0,3046,3046,0,3990,0,0,0,0,0,0.0000,90,4444,0,2600000,2600086,4320,2,126,0,0,0,0
91623,0,0,3162,3162,0,4163,0,0,0,0,0,0.0000,92,4512,0,2600000,2600088,4386,2,128,0,0,0,0
92627,0,0,3086,3086,0,4059,0,0,0,0,0,0.0000,92,4572,0,2600000,2600088,4446,2,128,0,0,0,0
93629,0,0,3089,3089,0,4079,0,0,0,0,0,0.0000,95,4638,0,2600000,2600091,4510,2,130,0,0,0,0
94631,0,0,2866,2866,0,3762,0,0,0,0,0,0.0000,95,4702,0,2600000,2600091,4572,2,132,0,0,0,0
95631,0,0,3046,3046,0,3998,0,0,0,0,0,0.0000,95,4766,0,2600000,2600091,4634,2,134,0,0,0,0
96633,0,0,2982,2982,0,3918,0,0,0,0,0,0.0000,97,4832,0,2600000,2600093,4698,2,136,0,0,0,0
97635,0,0,3089,3089,0,4075,0,0,0,0,0,0.0000,98,4896,0,2600000,2600094,4760,2,138,0,0,0,0
