Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
26514,0,0,1575,1575,0,2065,0,0,0,0,0,0.0000,5,138,0,0,4,132,0,7,0,0,0,0
27514,0,0,1555,1555,0,2068,0,0,0,0,0,0.0000,7,173,0,0,6,164,0,10,0,0,0,0
28514,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,7,205,0,0,6,195,0,11,0,0,0,0
29514,0,0,1568,1568,0,2054,0,0,0,0,0,0.0000,7,238,0,0,6,227,0,12,0,0,0,0
30515,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,7,270,0,0,6,258,0,13,0,0,0,0
31516,0,0,1613,1613,0,2117,0,0,0,0,0,0.0000,7,303,0,0,6,290,0,14,0,0,0,0
32516,0,0,79624728,380895,0,383878,0,0,0,79243833,0,0.0000,9,334,0,78913,78921,321,0,14,0,0,0,0
33519,0,0,81326923,536293,0,540343,0,0,0,113902983,0,0.0000,9,367,0,157300,157308,353,0,15,0,0,0,0
34523,0,0,83950368,763363,0,768998,0,0,0,112473230,0,0.0000,9,400,0,235300,235308,385,0,16,0,0,0,0
35523,0,0,80015178,898479,0,905032,0,0,0,112424798,0,0.0000,9,432,0,313300,313308,416,0,17,0,0,0,0
36525,0,0,85262113,1127657,0,1135829,0,0,0,111016234,0,0.0000,9,465,0,391300,391308,448,0,18,0,0,0,0
37525,0,0,80015221,1345509,0,1355186,0,0,0,109670228,0,0.0000,12,497,0,469300,469311,479,0,19,0,0,0,0
38528,0,0,85442686,1608912,0,1620413,0,0,0,108326240,0,0.0000,12,529,0,547300,547311,511,0,19,0,0,0,0
39532,0,0,81326878,1707697,0,1719864,0,0,0,108282853,0,0.0000,12,561,0,625300,625311,542,0,20,0,0,0,0
40532,0,0,86573768,1977190,0,1991246,0,0,0,108205160,0,0.0000,12,593,0,703300,703311,573,0,21,0,0,0,0
41534,0,0,80015204,2078009,0,2092748,17,0,0,106821821,0,0.0000,14,626,0,781300,781313,605,0,22,0,0,0,0
42535,0,0,86573839,2381870,0,2398756,0,0,0,105415275,0,0.0000,14,659,0,859300,859313,637,0,23,0,0,0,0
43539,0,0,82638623,2573464,0,2591647,0,0,0,106712849,0,0.0000,14,691,0,937300,937313,668,0,24,0,0,0,0
44539,0,0,85262030,2616858,0,2635342,0,0,0,105472788,0,0.0000,14,723,0,1015300,1015313,700,0,24,0,0,0,0
45542,0,0,82638668,3070946,0,3092590,0,0,0,103973414,0,0.0000,14,756,0,1093300,1093313,732,0,25,0,0,0,0
46547,0,0,86573794,3267727,0,3290742,0,0,0,105289150,0,0.0000,16,788,0,1172600,1172615,763,0,26,0,0,0,0
47549,0,0,83950349,3413987,0,3438014,0,0,0,105145872,0,0.0000,16,821,0,1250600,1250615,795,0,27,0,0,0,0
48552,0,0,51157778,3536005,0,3560856,0,0,0,74990898,0,0.0000,16,853,0,1300000,1300015,826,0,28,0,0,0,0
49554,0,0,1478,2754030,0,2773500,0,0,0,0,0,0.0000,16,885,0,1300000,1300015,857,0,29,0,0,0,0
50555,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,16,917,0,1300000,1300015,889,0,29,0,0,0,0
51558,0,0,1549,1549,0,2035,0,0,0,0,0,0.0000,18,949,0,1300000,1300017,920,0,30,0,0,0,0
52559,0,0,1566,1566,0,2077,0,0,0,0,0,0.0000,19,982,0,1300000,1300018,952,0,31,0,0,0,0
53561,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,19,1014,0,1300000,1300018,983,0,32,0,0,0,0
54562,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,19,1046,0,1300000,1300018,1014,0,33,0,0,0,0
55562,0,0,1613,1613,0,2117,0,0,0,0,0,0.0000,19,1079,0,1300000,1300018,1046,0,34,0,0,0,0
56565,0,0,1511,1511,0,1994,0,0,0,0,0,0.0000,21,1110,0,1300000,1300020,1077,0,34,0,0,0,0
57565,0,0,1478,1478,0,1947,0,0,0,0,0,0.0000,21,1143,0,1300000,1300020,1109,0,35,0,0,0,0
58567,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,21,1175,0,1300000,1300020,1140,0,36,0,0,0,0
59568,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,21,1208,0,1300000,1300020,1172,0,37,0,0,0,0
60571,0,0,1568,1568,0,2054,0,0,0,0,0,0.0000,21,1240,0,1300000,1300020,1203,0,38,0,0,0,0
61572,0,0,1504,1504,0,1987,0,0,0,0,0,0.0000,23,1272,0,1300000,1300022,1234,0,39,0,0,0,0
62574,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,23,1304,0,1300000,1300022,1266,0,39,0,0,0,0
63576,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,23,1336,0,1300000,1300022,1297,0,40,0,0,0,0
64577,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,23,1369,0,1300000,1300022,1329,0,41,0,0,0,0
65578,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,23,1401,0,1300000,1300022,1360,0,42,0,0,0,0
66580,0,0,1504,1504,0,1987,0,0,0,0,0,0.0000,25,1433,0,1300000,1300024,1391,0,43,0,0,0,0
67581,0,0,1495,1495,0,1971,0,0,0,0,0,0.0000,26,1466,0,1300000,1300025,1423,0,44,0,0,0,0
68582,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,26,1496,0,1300000,1300025,1453,0,44,0,0,0,0
69585,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,26,1529,0,1300000,1300025,1485,0,45,0,0,0,0
70586,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,26,1562,0,1300000,1300025,1517,0,46,0,0,0,0
71587,0,0,1504,1504,0,1986,0,0,0,0,0,0.0000,28,1594,0,1300000,1300027,1548,0,47,0,0,0,0
