Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
19632,0,0,17829,17829,0,23380,0,0,0,0,0,0.0000,113,1953,0,0,91,1881,10,84,0,0,0,0
20636,0,0,18526,18526,0,24558,0,0,0,0,0,0.0000,115,2373,0,0,93,2265,10,120,0,0,0,0
21637,0,0,18437,18437,0,24212,0,0,0,0,0,0.0000,117,2757,0,0,95,2637,10,132,0,0,0,0
22640,0,0,18462,18462,0,24476,0,0,0,0,0,0.0000,147,3141,0,0,125,3009,10,144,0,0,0,0
23642,0,0,17466,17466,0,22926,0,0,0,0,0,0.0000,147,3525,0,0,125,3381,10,156,0,0,0,0
24644,0,0,8582090,59067,0,65199,0,0,0,8523023,0,0.0000,149,3921,0,8487,8614,3765,10,168,0,0,0,0
25648,0,0,839243992,1800695,0,1816825,0,540,0,837442757,0,0.0000,150,4305,0,831741,831869,4149,10,168,0,0,0,0
26648,0,0,966846344,1298209,0,1311058,0,720,0,1185012987,0,0.0000,150,4641,0,1539664,1539792,4473,10,180,0,0,0,0
27653,0,0,959717017,531250,456,540191,26,1080,0,1514126589,0,0.0008,172,5025,0,2287188,2287338,4845,10,192,0,0,0,0
28655,0,0,1365992045,367496,190,375931,17,5590,0,2091448137,38,0.0000,173,5457,0,3139141,3139292,5265,10,204,0,0,0,0
29659,0,0,1784770674,232795,0,240362,0,13416,0,2121697957,0,0.0000,173,5757,0,3732723,3732874,5553,10,216,0,0,0,0
30663,0,0,1308204682,194879,304,202361,43,2700,0,2505537701,0,0.0000,176,6105,0,4435648,4435802,5901,10,216,0,0,0,0
31664,0,0,1516975333,192179,304,197367,43,11104,0,2710220414,38,0.0000,176,6417,0,5018610,5018764,6201,10,228,0,0,0,0
32666,0,0,1579628610,139444,304,144819,0,18394,0,3678696956,38,0.0000,176,6957,0,6087171,6087325,6729,10,240,0,0,0,0
33668,0,0,1390739376,111289,342,114472,0,11710,0,2817506375,38,0.0000,176,6957,0,6087171,6087325,6729,10,240,0,0,0,0
34669,0,0,2556400494,76634,342,81792,26,41107,0,4279398043,0,0.0000,178,7725,0,7552150,7552306,7473,10,264,0,0,0,0
35671,0,0,2192933165,78778,190,84475,234,29093,0,4286395458,76,0.0000,194,7893,0,7902304,7902476,7641,10,264,0,0,0,0
36672,0,0,1922020753,79373,76,82256,260,14576,0,3506120623,76,0.0000,198,7893,0,7902304,7902480,7641,10,264,0,0,0,0
37674,0,0,2889631033,78646,38,86136,260,34621,0,4305294028,0,0.0000,198,8421,0,8950962,8951138,8157,10,276,0,0,0,0
38675,0,0,4229097506,78646,38,86136,260,64693,0,5644730429,0,0.0000,198,9093,0,10278451,10278627,8805,10,300,0,0,0,0
39677,0,0,3626090096,87809,76,93659,341,69716,0,6873133443,0,0.0000,219,9717,0,11495969,11496166,9417,10,312,0,0,0,0
40677,0,0,3329639228,91640,76,96819,316,65860,0,6176647986,76,0.0000,220,9717,0,11495969,11496167,9417,10,312,0,0,0,0
41681,0,0,147862599,98662,380,103850,158,46445,0,5556196733,0,0.0000,233,9753,0,11571380,11571591,9453,10,312,0,0,0,0
42685,0,0,1692493831,98662,380,103850,158,80297,0,7100794113,0,0.0000,233,10509,0,13102200,13102411,10185,10,336,0,0,0,0
43689,0,0,3061831975,98662,380,103850,158,112613,0,8470099941,0,0.0000,233,11229,0,14459292,14459503,10893,10,348,0,0,0,0
44691,0,0,3199389638,101377,380,108910,131,101709,0,8016085256,114,0.0000,233,11325,0,14611219,14611430,10977,10,360,0,0,0,0
45692,0,0,3091685188,105245,380,111435,155,99262,0,9013632097,76,0.0000,244,11985,0,15600000,15600222,11625,10,372,0,0,0,0
46695,0,0,2566993192,102765,456,106457,181,71474,0,7831572453,76,0.0000,246,11985,0,15600000,15600224,11625,10,372,0,0,0,0
47695,0,0,419260486,114409,38,116873,232,62191,0,6612057720,38,0.0000,266,12597,0,15600000,15600244,12225,10,384,0,0,0,0
48698,0,0,251881655,112572,76,116025,214,36189,0,5543736592,38,0.0000,268,12597,0,15600000,15600246,12225,10,384,0,0,0,0
49701,0,0,167930404,111149,114,115014,205,23188,0,4269497735,38,0.0000,269,12597,0,15600000,15600247,12225,10,384,0,0,0,0
50704,0,0,59324,203734,152,213092,89,23181,0,3204367065,114,0.0000,285,13917,0,15600000,15600263,13509,10,420,0,0,0,0
51707,0,0,67323,290998,152,305606,0,8598,0,1910794759,38,0.0000,285,14097,0,15600000,15600263,13677,10,432,0,0,0,0
