Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
19632,0,0,1449,1449,0,1904,0,0,0,0,0,0.0000,6,160,0,0,5,154,0,7,0,0,0,0
20636,0,0,1617,1617,0,2165,0,0,0,0,0,0.0000,8,195,0,0,7,186,0,10,0,0,0,0
21637,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,8,227,0,0,7,217,0,11,0,0,0,0
22640,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,8,259,0,0,7,248,0,12,0,0,0,0
23642,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,8,291,0,0,7,279,0,13,0,0,0,0
24644,0,0,1549,1549,0,2039,0,0,0,0,0,0.0000,10,324,0,0,9,311,0,14,0,0,0,0
25648,0,0,69521583,146734,0,148086,0,45,0,69374804,0,0.0000,11,356,0,68900,68910,343,0,14,0,0,0,0
26648,0,0,93132673,127738,0,128973,0,360,0,123236233,0,0.0000,11,384,0,127400,127410,370,0,15,0,0,0,0
27653,0,0,80015493,31973,38,32615,0,90,0,140321630,0,0.0012,11,416,0,189800,189810,401,0,16,0,0,0,0
28655,0,0,135108146,35225,38,35938,0,1118,0,212459076,0,0.0011,11,452,0,261300,261310,436,0,17,0,0,0,0
29659,0,0,149537161,19396,0,20019,0,1118,0,149528755,38,0.0000,11,477,0,310700,310710,460,0,18,0,0,0,0
30663,0,0,108873566,10270,76,10930,43,225,0,208547183,0,0.0073,14,506,0,369200,369213,489,0,18,0,0,0,0
31664,0,0,157407629,10270,76,10930,43,1388,0,257080083,0,0.0073,14,532,0,417300,417313,514,0,19,0,0,0,0
32666,0,0,153472439,7575,38,8028,0,2378,0,347584356,38,0.0050,14,577,0,507000,507013,558,0,20,0,0,0,0
33668,0,0,153472439,7575,38,8028,0,2378,0,347584356,38,0.0050,14,577,0,507000,507013,558,0,20,0,0,0,0
34669,0,0,213811984,4062,38,4365,0,4209,0,470881129,0,0.0093,14,641,0,629200,629213,620,0,22,0,0,0,0
35671,0,0,242670014,4062,38,4365,0,4839,0,499738529,0,0.0093,14,655,0,657800,657813,634,0,22,0,0,0,0
36672,0,0,242670014,4062,38,4365,0,4839,0,499738529,0,0.0093,14,655,0,657800,657813,634,0,22,0,0,0,0
37674,0,0,240046569,2326,0,2861,0,3181,0,587610321,76,0.0000,14,699,0,744900,744913,677,0,23,0,0,0,0
38675,0,0,351543575,2326,0,2861,0,5687,0,699104821,76,0.0000,14,755,0,855400,855413,731,0,25,0,0,0,0
39677,0,0,301767476,2326,76,2964,43,5694,0,801478970,76,0.0316,17,807,0,956869,956885,782,0,26,0,0,0,0
40677,0,0,301767476,2326,76,2964,43,5694,0,801478970,76,0.0316,17,807,0,956869,956885,782,0,26,0,0,0,0
41681,0,0,11805613,3494,76,4392,0,2378,0,807956750,76,0.0213,17,810,0,963300,963316,785,0,26,0,0,0,0
42685,0,0,140355034,3494,76,4392,0,5199,0,936503350,76,0.0213,17,873,0,1090700,1090716,846,0,28,0,0,0,0
43689,0,0,254475627,3494,76,4392,0,7892,0,1050621250,76,0.0213,17,933,0,1203800,1203816,905,0,29,0,0,0,0
44691,0,0,267592980,3494,76,4392,0,8245,0,1063738250,76,0.0213,17,941,0,1216800,1216816,912,0,30,0,0,0,0
45692,0,0,346227683,2333,76,2971,34,8380,0,1147679987,38,0.0315,19,996,0,1300000,1300018,966,0,31,0,0,0,0
46695,0,0,346227683,2333,76,2971,34,8380,0,1147679987,38,0.0315,19,996,0,1300000,1300018,966,0,31,0,0,0,0
47695,0,0,83953616,3485,38,4335,26,7217,0,1147668888,76,0.0108,21,1047,0,1300000,1300020,1016,0,32,0,0,0,0
48698,0,0,83953616,3485,38,4335,26,7217,0,1147668888,76,0.0108,21,1047,0,1300000,1300020,1016,0,32,0,0,0,0
49701,0,0,83953616,3485,38,4335,26,7217,0,1147668888,76,0.0108,21,1047,0,1300000,1300020,1016,0,32,0,0,0,0
50704,0,0,4972,3513,152,4514,26,1523,0,1147634582,228,0.0415,24,1157,0,1300000,1300023,1123,0,35,0,0,0,0
51707,0,0,5640,5730,152,5983,0,0,0,972921187,76,0.0258,24,1172,0,1300000,1300023,1137,0,36,0,0,0,0
52707,0,0,7630,5730,152,7245,17,1973,0,0,38,0.0258,25,1216,0,1300000,1300024,1180,0,37,0,0,0,0
53710,0,0,1973,1973,0,2493,0,0,0,0,0,0.0000,25,1260,0,1300000,1300024,1223,0,38,0,0,0,0
54710,0,0,1540,1540,0,2030,0,0,0,0,0,0.0000,26,1291,0,1300000,1300025,1253,0,39,0,0,0,0
55711,0,0,1528,1528,0,2032,0,0,0,0,0,0.0000,28,1323,0,1300000,1300027,1285,0,39,0,0,0,0
56713,0,0,1540,1540,0,2030,0,0,0,0,0,0.0000,28,1356,0,1300000,1300027,1317,0,40,0,0,0,0
57714,0,0,1613,1613,0,2113,0,0,0,0,0,0.0000,28,1389,0,1300000,1300027,1349,0,41,0,0,0,0
58716,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,28,1421,0,1300000,1300027,1380,0,42,0,0,0,0
59719,0,0,1450,1450,0,1908,0,0,0,0,0,0.0000,29,1453,0,1300000,1300028,1411,0,43,0,0,0,0
60722,0,0,1566,1566,0,2084,0,0,0,0,0,0.0000,31,1486,0,1300000,1300030,1443,0,44,0,0,0,0
61725,0,0,1547,1547,0,2037,0,0,0,0,0,0.0000,31,1517,0,1300000,1300030,1474,0,44,0,0,0,0
62725,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,31,1550,0,1300000,1300030,1506,0,45,0,0,0,0
63728,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,31,1583,0,1300000,1300030,1538,0,46,0,0,0,0
64729,0,0,1585,1585,0,2085,0,0,0,0,0,0.0000,32,1615,0,1300000,1300031,1569,0,47,0,0,0,0
65733,0,0,1549,1549,0,2060,0,0,0,0,0,0.0000,34,1648,0,1300000,1300033,1601,0,48,0,0,0,0
66735,0,0,1388,1388,0,1818,0,0,0,0,0,0.0000,34,1679,0,1300000,1300033,1631,0,49,0,0,0,0
67735,0,0,1485,1485,0,1947,0,0,0,0,0,0.0000,34,1711,0,1300000,1300033,1663,0,49,0,0,0,0
68735,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,34,1744,0,1300000,1300033,1695,0,50,0,0,0,0
69735,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,35,1776,0,1300000,1300034,1726,0,51,0,0,0,0
70737,0,0,1549,1549,0,2060,0,0,0,0,0,0.0000,37,1809,0,1300000,1300036,1758,0,52,0,0,0,0
71737,0,0,1540,1540,0,2026,0,0,0,0,0,0.0000,37,1840,0,1300000,1300036,1788,0,53,0,0,0,0
72742,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,37,1874,0,1300000,1300036,1821,0,54,0,0,0,0
73743,0,0,1395,1395,0,1829,0,0,0,0,0,0.0000,37,1904,0,1300000,1300036,1851,0,54,0,0,0,0
74744,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,38,1937,0,1300000,1300037,1883,0,55,0,0,0,0
75745,0,0,1521,1521,0,2021,0,0,0,0,0,0.0000,40,1969,0,1300000,1300039,1914,0,56,0,0,0,0
76745,0,0,1630,1630,0,2148,0,0,0,0,0,0.0000,40,2002,0,1300000,1300039,1946,0,57,0,0,0,0
77749,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,40,2034,0,1300000,1300039,1977,0,58,0,0,0,0
78750,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,40,2067,0,1300000,1300039,2009,0,59,0,0,0,0
79752,0,0,1547,1547,0,2037,0,0,0,0,0,0.0000,41,2098,0,1300000,1300040,2040,0,59,0,0,0,0
80754,0,0,1459,1459,0,1935,0,0,0,0,0,0.0000,43,2130,0,1300000,1300042,2071,0,60,0,0,0,0
81755,0,0,1630,1630,0,2144,0,0,0,0,0,0.0000,43,2163,0,1300000,1300042,2103,0,61,0,0,0,0
82756,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,43,2195,0,1300000,1300042,2134,0,62,0,0,0,0
83759,0,0,1433,1433,0,1877,0,0,0,0,0,0.0000,43,2227,0,1300000,1300042,2165,0,63,0,0,0,0
84760,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,44,2260,0,1300000,1300043,2197,0,64,0,0,0,0
85760,0,0,1421,1421,0,1890,0,0,0,0,0,0.0000,46,2291,0,1300000,1300045,2228,0,64,0,0,0,0
86762,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,46,2324,0,1300000,1300045,2260,0,65,0,0,0,0
87762,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,46,2356,0,1300000,1300045,2291,0,66,0,0,0,0
88764,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,46,2388,0,1300000,1300045,2322,0,67,0,0,0,0
