Timestamp(ms),IP_Address,RTT(ms),SequenceNum
18381,192.168.1.15,1496,1
18390,192.168.1.8,1504,1
19876,192.168.1.15,2982,2
19885,192.168.1.8,2990,2
21383,192.168.1.15,4479,3
21401,192.168.1.8,4496,3
22870,192.168.1.15,5957,4
22879,192.168.1.8,5965,4
24347,192.168.1.15,7425,5
24366,192.168.1.8,7443,5
25835,192.168.1.15,8904,6
25844,192.168.1.8,8912,6
27329,192.168.1.15,10389,7
27342,192.168.1.8,10401,7
28844,192.168.1.15,11895,8
28857,192.168.1.8,11907,8
30316,192.168.1.15,13358,9
30329,192.168.1.8,13370,9
31822,192.168.1.15,14855,10
31828,192.168.1.8,14860,10
33309,192.168.1.15,16333,11
33328,192.168.1.8,16351,11
34833,192.168.1.15,17849,12
34833,192.168.1.8,17847,12
36339,192.168.1.15,19346,13
36358,192.168.1.8,19364,13
37849,192.168.1.8,20846,14
37855,192.168.1.15,20853,14
39361,192.168.1.15,22349,15
39361,192.168.1.8,22348,15
40867,192.168.1.15,23846,16
40881,192.168.1.8,23859,16
42361,192.168.1.15,25331,17
42393,192.168.1.8,25362,17
43864,192.168.1.15,26826,18
43870,192.168.1.8,26830,18
45382,192.168.1.15,28334,19
45389,192.168.1.8,28340,19
46873,192.168.1.15,29817,20
46880,192.168.1.8,29823,20
48389,192.168.1.15,31324,21
48407,192.168.1.8,31341,21
49889,192.168.1.15,32815,22
49902,192.168.1.8,32827,22
51413,192.168.1.15,34331,23
51419,192.168.1.8,34335,23
52926,192.168.1.15,35834,24
52938,192.168.1.8,35845,24
54431,192.168.1.15,37330,25
54431,192.168.1.8,37329,25
55942,192.168.1.15,38831,26
55947,192.168.1.8,38835,26
57436,192.168.1.15,40317,27
57455,192.168.1.8,40334,27
58945,192.168.1.15,41816,28
58988,192.168.1.8,41858,28
60434,192.168.1.15,43296,29
60447,192.168.1.8,43308,29
61947,192.168.1.15,44800,30
61953,192.168.1.8,44805,30
63431,192.168.1.15,46275,31
63439,192.168.1.8,46282,31
64925,192.168.1.15,47760,32
64952,192.168.1.8,47786,32
66428,192.168.1.15,49255,33
66434,192.168.1.8,49259,33
67907,192.168.1.15,50724,34
67913,192.168.1.8,50728,34
69417,192.168.1.15,52225,35
69424,192.168.1.8,52231,35
70907,192.168.1.15,53706,36
70914,192.168.1.8,53711,36
72406,192.168.1.15,55196,37
72412,192.168.1.8,55201,37
73914,192.168.1.15,56694,38
73920,192.168.1.8,56699,38
75400,192.168.1.15,58172,39
75406,192.168.1.8,58176,39
76921,192.168.1.15,59684,40
76933,192.168.1.8,59694,40
78408,192.168.1.15,61162,41
78422,192.168.1.8,61174,41
79917,192.168.1.15,62662,42
79924,192.168.1.8,62668,42
81392,192.168.1.15,64128,43
81404,192.168.1.8,64139,43
82887,192.168.1.15,65614,44
82901,192.168.1.8,65627,44
84390,192.168.1.15,67108,45
84403,192.168.1.8,67120,45
85894,192.168.1.15,68603,46
85900,192.168.1.8,68608,46
87392,192.168.1.15,70092,47
87405,192.168.1.8,70104,47
88921,192.168.1.15,71613,48
88921,192.168.1.8,71611,48
90416,192.168.1.15,73099,49
90430,192.168.1.8,73112,49
91889,192.168.1.15,74563,50
91902,192.168.1.8,74575,50
93414,192.168.1.15,76079,51
93427,192.168.1.8,76091,51
94902,192.168.1.15,77558,52
94921,192.168.1.8,77576,52
96427,192.168.1.15,79075,53
96433,192.168.1.8,79079,53
97900,192.168.1.15,80539,54
97920,192.168.1.8,80558,54
99426,192.168.1.15,82055,55
99432,192.168.1.8,82060,55
100935,192.168.1.15,83555,56
100935,192.168.1.8,83554,56
102449,192.168.1.15,85059,57
102467,192.168.1.8,85076,57
103944,192.168.1.15,86546,58
103962,192.168.1.8,86563,58
105437,192.168.1.15,88030,59
105456,192.168.1.8,88048,59
106962,192.168.1.15,89546,60
106962,192.168.1.8,89544,60
108465,192.168.1.15,91040,61
108477,192.168.1.8,91051,61
109988,192.168.1.15,92554,62
110000,192.168.1.8,92564,62
111504,192.168.1.15,94061,63
111518,192.168.1.8,94074,63
113006,192.168.1.15,95554,64
113012,192.168.1.8,95558,64
114513,192.168.1.15,97052,65
114541,192.168.1.8,97079,65
116035,192.168.1.15,98565,66
116047,192.168.1.8,98576,66
117528,192.168.1.15,100049,67
117552,192.168.1.8,100072,67
119052,192.168.1.8,101563,68
119052,192.168.1.15,101564,68
120557,192.168.1.15,103060,69
120581,192.168.1.8,103083,69
122073,192.168.1.15,104568,70
122086,192.168.1.8,104580,70
123579,192.168.1.15,106065,71
123593,192.168.1.8,106078,71
125082,192.168.1.15,107559,72
125088,192.168.1.8,107563,72
126585,192.168.1.15,109052,73
126597,192.168.1.8,109063,73
128075,192.168.1.8,110532,74
128081,192.168.1.15,110539,74
129591,192.168.1.15,112040,75
129611,192.168.1.8,112059,75
131109,192.168.1.15,113549,76
131115,192.168.1.8,113554,76
132638,192.168.1.15,115070,77
132650,192.168.1.8,115080,77
134151,192.168.1.15,116573,78
134188,192.168.1.8,116609,78
135651,192.168.1.15,118064,79
135651,192.168.1.8,118063,79
137158,192.168.1.15,119563,80
137170,192.168.1.8,119573,80
138675,192.168.1.15,121070,81
138693,192.168.1.8,121086,81
140164,192.168.1.15,122550,82
140170,192.168.1.8,122555,82
141655,192.168.1.15,124032,83
141673,192.168.1.8,124049,83
143160,192.168.1.15,125528,84
143166,192.168.1.8,125533,84
144660,192.168.1.15,127019,85
144678,192.168.1.8,127036,85
146171,192.168.1.15,128521,86
146185,192.168.1.8,128533,86
147669,192.168.1.15,130010,87
147682,192.168.1.8,130022,87
149183,192.168.1.15,131515,88
149183,192.168.1.8,131514,88
150706,192.168.1.15,133029,89
150719,192.168.1.8,133041,89
152230,192.168.1.15,134544,90
152235,192.168.1.8,134548,90
153718,192.168.1.15,136024,91
153731,192.168.1.8,136035,91
155241,192.168.1.15,137538,92
155259,192.168.1.8,137554,92
156723,192.168.1.15,139010,93
156741,192.168.1.8,139027,93
158260,192.168.1.15,140539,94
158279,192.168.1.8,140557,94
159755,192.168.1.15,142025,95
159780,192.168.1.8,142049,95
161241,192.168.1.15,143503,96
161261,192.168.1.8,143521,96
162750,192.168.1.8,145001,97
162750,192.168.1.15,145003,97
164242,192.168.1.15,146486,98
164255,192.168.1.8,146498,98
165766,192.168.1.15,148001,99
165766,192.168.1.8,148000,99
167263,192.168.1.15,149489,100
167287,192.168.1.8,149512,100
168772,192.168.1.15,150990,101
168778,192.168.1.8,150994,101
170255,192.168.1.15,152464,102
170274,192.168.1.8,152481,102
171762,192.168.1.15,153962,103
171769,192.168.1.8,153968,103
173262,192.168.1.15,155453,104
173281,192.168.1.8,155471,104
174775,192.168.1.15,156958,105
174782,192.168.1.8,156963,105
176287,192.168.1.15,158461,106
176300,192.168.1.8,158473,106
177767,192.168.1.15,159931,107
177785,192.168.1.8,159948,107
179278,192.168.1.15,161434,108
179284,192.168.1.8,161438,108
180773,192.168.1.15,162920,109
180791,192.168.1.8,162936,109
182272,192.168.1.15,164410,110
182291,192.168.1.8,164428,110
183786,192.168.1.15,165915,111
183794,192.168.1.8,165922,111
185296,192.168.1.15,167417,112
185309,192.168.1.8,167428,112
186798,192.168.1.15,168909,113
186818,192.168.1.8,168928,113
188300,192.168.1.15,170402,114
188324,192.168.1.8,170425,114
189806,192.168.1.15,171899,115
189812,192.168.1.8,171904,115
191307,192.168.1.15,173391,116
191320,192.168.1.8,173403,116
192818,192.168.1.15,174894,117
192836,192.168.1.8,174911,117
194318,192.168.1.15,176385,118
194330,192.168.1.8,176395,118
195836,192.168.1.15,177893,119
195849,192.168.1.8,177905,119
197347,192.168.1.15,179395,120
197353,192.168.1.8,179400,120
198858,192.168.1.15,180897,121
198870,192.168.1.8,180908,121
200377,192.168.1.15,182408,122
200383,192.168.1.8,182413,122
201868,192.168.1.15,183890,123
201887,192.168.1.8,183908,123
203386,192.168.1.15,185399,124
203392,192.168.1.8,185404,124
204903,192.168.1.15,186907,125
204910,192.168.1.8,186913,125
206408,192.168.1.15,188404,126
206433,192.168.1.8,188427,126
207940,192.168.1.15,189927,127
207953,192.168.1.8,189939,127
209432,192.168.1.15,191409,128
209445,192.168.1.8,191421,128
210955,192.168.1.15,192923,129
210961,192.168.1.8,192928,129
212469,192.168.1.15,194428,130
212475,192.168.1.8,194433,130
213979,192.168.1.15,195929,131
214006,192.168.1.8,195955,131
215485,192.168.1.15,197426,132
215485,192.168.1.8,197425,132
216991,192.168.1.15,198924,133
217003,192.168.1.8,198934,133
218496,192.168.1.15,200420,134
218533,192.168.1.8,200455,134
220006,192.168.1.15,201921,135
220013,192.168.1.8,201926,135
221502,192.168.1.15,203408,136
221521,192.168.1.8,203426,136
223031,192.168.1.15,204928,137
223037,192.168.1.8,204933,137
224524,192.168.1.15,206413,138
224548,192.168.1.8,206435,138
226053,192.168.1.15,207933,139
226053,192.168.1.8,207931,139
227567,192.168.1.15,209437,140
227567,192.168.1.8,209436,140
229053,192.168.1.15,210914,141
229078,192.168.1.8,210938,141
230559,192.168.1.15,212411,142
230578,192.168.1.8,212429,142
232062,192.168.1.15,213906,143
232068,192.168.1.8,213910,143
233582,192.168.1.15,215417,144
233595,192.168.1.8,215428,144
235090,192.168.1.15,216916,145
235096,192.168.1.8,216921,145
236621,192.168.1.8,218437,146
236621,192.168.1.15,218438,146
238123,192.168.1.15,219931,147
238130,192.168.1.8,219937,147
239665,192.168.1.15,221464,148
239665,192.168.1.8,221463,148
241167,192.168.1.15,222958,149
241167,192.168.1.8,222956,149
242692,192.168.1.15,224474,150
242698,192.168.1.8,224478,150
244187,192.168.1.15,225960,151
244199,192.168.1.8,225970,151
245688,192.168.1.15,227452,152
245694,192.168.1.8,227457,152
247191,192.168.1.15,228946,153
247197,192.168.1.8,228951,153
248707,192.168.1.15,230454,154
248726,192.168.1.8,230471,154
250209,192.168.1.15,231947,155
250221,192.168.1.8,231957,155
251712,192.168.1.15,233441,156
251730,192.168.1.8,233457,156
253207,192.168.1.15,234927,157
253226,192.168.1.8,234944,157
254714,192.168.1.15,236425,158
254733,192.168.1.8,236442,158
256202,192.168.1.15,237904,159
256202,192.168.1.8,237903,159
257705,192.168.1.15,239398,160
257705,192.168.1.8,239397,160
259203,192.168.1.15,240886,161
259221,192.168.1.8,240903,161
260725,192.168.1.15,242399,162
260725,192.168.1.8,242398,162
262244,192.168.1.15,243910,163
262258,192.168.1.8,243922,163
263717,192.168.1.15,245374,164
263730,192.168.1.8,245385,164
265226,192.168.1.15,246874,165
265246,192.168.1.8,246892,165
266737,192.168.1.8,248375,166
266743,192.168.1.15,248382,166
