Timestamp(ms),IP_Address,RTT(ms),SequenceNum
33001,192.168.1.15|54310,161,1
33064,192.168.1.15|54310,216,2
33109,192.168.1.15|54310,252,3
33185,192.168.1.15|54310,320,4
33244,192.168.1.15|54310,371,5
33295,192.168.1.15|54310,413,6
33347,192.168.1.15|54310,456,7
33366,192.168.1.8|53353,527,1
33391,192.168.1.15|54310,492,8
33477,192.168.1.15|54310,570,9
33531,192.168.1.15|54310,615,10
33593,192.168.1.15|54310,668,11
33672,192.168.1.15|54310,738,12
33681,192.168.1.15|54310,739,13
33722,192.168.1.8|53353,875,2
33749,192.168.1.15|54310,799,14
33811,192.168.1.15|54310,853,15
33871,192.168.1.15|54310,904,16
33922,192.168.1.15|54310,947,17
33988,192.168.1.15|54310,1004,18
34024,192.168.1.15|54310,1032,19
34069,192.168.1.15|54310,1069,20
34079,192.168.1.8|53353,1223,3
34132,192.168.1.15|54310,1123,21
34202,192.168.1.15|54310,1184,22
34261,192.168.1.15|54310,1233,23
34312,192.168.1.15|54310,1276,24
34374,192.168.1.15|54310,1329,25
34392,192.168.1.15|54310,1339,26
34459,192.168.1.15|54310,1396,27
34487,192.168.1.8|53353,1623,4
34523,192.168.1.15|54310,1451,28
34575,192.168.1.15|54310,1495,29
34634,192.168.1.15|54310,1545,30
34678,192.168.1.15|54310,1580,31
34744,192.168.1.15|54310,1636,32
34788,192.168.1.15|54310,1672,33
34847,192.168.1.8|53353,1974,5
34882,192.168.1.15|54310,1757,34
34901,192.168.1.15|54310,1768,35
34969,192.168.1.15|54310,1827,36
35019,192.168.1.15|54310,1869,37
35097,192.168.1.15|54310,1938,38
35122,192.168.1.15|54310,1956,39
35199,192.168.1.15|54310,2024,40
35208,192.168.1.8|53353,2327,6
35259,192.168.1.15|54310,2075,41
35303,192.168.1.15|54310,2111,42
35345,192.168.1.15|54310,2145,43
35400,192.168.1.15|54310,2191,44
35471,192.168.1.15|54310,2253,45
35534,192.168.1.15|54310,2308,46
35595,192.168.1.15|54310,2360,47
35620,192.168.1.8|53353,2731,7
35646,192.168.1.15|54310,2403,48
35714,192.168.1.15|54310,2462,49
35740,192.168.1.15|54310,2480,50
35823,192.168.1.15|54310,2554,51
35866,192.168.1.15|54310,2589,52
35910,192.168.1.15|54310,2624,53
35954,192.168.1.15|54310,2661,54
36016,192.168.1.8|53353,3118,8
36050,192.168.1.15|54310,2747,55
36092,192.168.1.15|54310,2780,56
36161,192.168.1.15|54310,2841,57
36205,192.168.1.15|54310,2876,58
36265,192.168.1.15|54310,2928,59
36300,192.168.1.15|54310,2954,60
36344,192.168.1.15|54310,2989,61
36389,192.168.1.8|53353,3483,9
36405,192.168.1.15|54310,3040,62
36483,192.168.1.15|54310,3109,63
36543,192.168.1.15|54310,3161,64
36587,192.168.1.15|54310,3197,65
36648,192.168.1.15|54310,3248,66
36701,192.168.1.15|54310,3292,67
36701,192.168.1.8|53353,3786,10
36768,192.168.1.15|54310,3352,68
36821,192.168.1.15|54310,3396,69
36897,192.168.1.15|54310,3464,70
36958,192.168.1.15|54310,3515,71
37002,192.168.1.15|54310,3549,72
37062,192.168.1.15|54310,3601,73
37072,192.168.1.8|53353,4148,11
37123,192.168.1.15|54310,3654,74
37174,192.168.1.15|54310,3698,75
37235,192.168.1.15|54310,3748,76
37305,192.168.1.15|54310,3808,77
37350,192.168.1.15|54310,3846,78
37397,192.168.1.8|53353,4464,12
37414,192.168.1.15|54310,3902,79
37455,192.168.1.15|54310,3933,80
37498,192.168.1.15|54310,3968,81
37568,192.168.1.15|54310,4030,82
37618,192.168.1.15|54310,4071,83
37646,192.168.1.8|53353,4705,13
37679,192.168.1.15|54310,4124,84
37731,192.168.1.15|54310,4166,85
37802,192.168.1.15|54310,4229,86
37863,192.168.1.15|54310,4281,87
37913,192.168.1.15|54310,4321,88
37948,192.168.1.8|53353,4998,14
37965,192.168.1.15|54310,4365,89
38041,192.168.1.15|54310,4431,90
38104,192.168.1.15|54310,4485,91
38158,192.168.1.15|54310,4531,92
38218,192.168.1.15|54310,4582,93
38226,192.168.1.8|53353,5269,15
38312,192.168.1.15|54310,4667,94
38355,192.168.1.15|54310,4701,95
38392,192.168.1.15|54310,4730,96
38450,192.168.1.15|54310,4779,97
38477,192.168.1.8|53353,5511,16
38505,192.168.1.15|54310,4826,98
38557,192.168.1.15|54310,4869,99
38612,192.168.1.15|54310,4915,100
38653,192.168.1.15|54310,4948,101
38707,192.168.1.15|54310,4994,102
38782,192.168.1.15|54310,5061,103
38801,192.168.1.8|53353,5827,17
38826,192.168.1.15|54310,5095,104
38878,192.168.1.15|54310,5139,105
38908,192.168.1.15|54310,5160,106
38961,192.168.1.15|54310,5205,107
39037,192.168.1.15|54310,5273,108
39057,192.168.1.8|53353,6074,18
39073,192.168.1.15|54310,5301,109
39145,192.168.1.15|54310,5363,110
39188,192.168.1.15|54310,5398,111
39288,192.168.1.15|54310,5489,112
39330,192.168.1.15|54310,5520,113
39400,192.168.1.15|54310,5582,114
39400,192.168.1.8|53353,6409,19
39425,192.168.1.15|54310,5597,115
39486,192.168.1.15|54310,5651,116
39557,192.168.1.15|54310,5713,117
39600,192.168.1.15|54310,5748,118
39685,192.168.1.15|54310,5824,119
39753,192.168.1.15|54310,5883,120
39772,192.168.1.8|53353,6773,20
39798,192.168.1.15|54310,5920,121
39876,192.168.1.15|54310,5989,122
39934,192.168.1.15|54310,6039,123
40002,192.168.1.15|54310,6098,124
40080,192.168.1.15|54310,6168,125
40124,192.168.1.15|54310,6203,126
40124,192.168.1.8|53353,7117,21
40198,192.168.1.15|54310,6269,127
40250,192.168.1.15|54310,6313,128
